President,Foreign Policy,Party,Term as President,,,Foreign Policy,Year,,,
George Washington ,,"None, Federalist",1789-1797,,,0,1929,,,
John Adams ,,Federalist,1797-1801,,,0,1930,,,
Thomas Jefferson ,,Democratic-Republican,1801-1809,,,0,1931,,,
James Madison ,,Democratic-Republican,1809-1817,,,0,1932,,,
James Monroe,,Democratic-Republican,1817-1825,,,0,1933,,,1=chill with immigrants
John Quincy Adams ,,Democratic-Republican,1825-1829,,,0,1934,,,0=not chill
Andrew Jackson,,Democrat,1829-1837,,,0,1935,,,
Martin van Buren,,Democrat,1837-1841,,,0,1936,,,
William H Harrison,,Whig,1841,,,0,1937,,,
John Tyler,,Whig,1841-1845,,,0,1938,,,
James K Polk,,Democrat,1845-1849,,,0,1939,,,
Zachary Taylor,,Whig,1849-1850,,,0,1940,,,
Millard Fillmore,,Whig,1850-1853,,,0,1941,,,
Franklin Pierce,,Democrat,1853-1857,,,0,1942,,,
James Buchanan,,Democrat,1857-1861,,,0,1943,,,
Abraham Lincoln,,Republican,1861-1865,,,0,1944,,,
Andrew Johnson,,National Union,1865-1869,,,0,1945,,,
Ulysses S Grant,,Republican,1869-1877,,,0,1946,,,
Rutherford Hayes,,Republican,1877-1881,,,0,1947,,,
James Garfield,,Republican,1881,,,0,1948,,,
Chester Arthur,,Republican,1881-1885,,,0,1949,,,
Grover Cleveland,,Democrat,1885-1889,,,0,1950,,,
Benjamin Harrison,,Republican,1889-1893,,,0,1951,,,
Grover Cleveland,,Democrat,1893-1897,,,0,1952,,,
William McKinley,,Republican,1897-1901,,,0,1953,,,
Theodore Roosevelt,,Republican,1901-1909,,,0,1954,,,
William Taft,,Republican,1909-1913,,,0,1955,,,
Woodrow Wilson,,Democrat,1913-1921,,,0,1956,,,
Warren Harding,,Republican,1921-1923,,,0,1957,,,
Calvin Coolidge,,Republican,1923-1929,,,0,1958,,,
Herbert C Hoover,,Republican,1929-1933,,,0,1959,,,
Franklin Delano Roosevelt,0,Democrat,1933-1945,,,0,1960,,,
Harry S Truman,0,Democrat,1945-1953,,,1,1961,,,
Dwight David Eisenhower,0,Republican,1953-1961,,,1,1962,,,
John Fitzgerald Kennedy,1,Democrat,1961-1963,,,1,1963,,,
Lyndon Baines Johnson,1,Democrat,1963-1969,,,1,1964,,,
Richard Milhous Nixon,0,Republican,1969-1974,,,1,1965,,,
Gerald Ford,0,Republican,1974-1977,,,1,1966,,,
Jimmy Carter,1,Democrat,1977-1981,,,1,1967,,,
Ronald Reagan,0,Republican,1981-1989,,,1,1968,,,
George H W Bush,0,Republican,1989-1993,,,0,1969,,,
Bill Clinton,1,Democrat,1993-2001,,,0,1970,,,
George W Bush,0,Republican,2001-2009,,,0,1971,,,
Barack Obama,1,Democrat ,2009-2017,,,0,1972,,,
Donald Trump,0,Republican ,2017- ,,,0,1973,,,
,,,,,,0,1974,,,
,,,,,,0,1975,,,
,,,,,,1,1976,,,
,,,,,,1,1977,,,
,,,,,,1,1978,,,
,,,,,,1,1979,,,
,,,,,,1,1980,,,
,,,,,,0,1981,,,
,,,,,,0,1982,,,
,,,,,,0,1983,,,
,,,,,,0,1984,,,
,,,,,,0,1985,,,
,,,,,,0,1986,,,
,,,,,,0,1987,,,
,,,,,,0,1988,,,
,,,,,,0,1989,,,
,,,,,,0,1990,,,
,,,,,,0,1991,,,
,,,,,,0,1992,,,
,,,,,,1,1993,,,
,,,,,,1,1994,,,
,,,,,,1,1995,,,
,,,,,,1,1996,,,
,,,,,,1,1997,,,
,,,,,,1,1998,,,
,,,,,,1,1999,,,
,,,,,,1,2000,,,
,,,,,,0,2001,,,
,,,,,,0,2002,,,
,,,,,,0,2003,,,
,,,,,,0,2004,,,
,,,,,,0,2005,,,
,,,,,,0,2006,,,
,,,,,,0,2007,,,
,,,,,,0,2008,,,
,,,,,,1,2009,,,
,,,,,,1,2010,,,
,,,,,,1,2011,,,
,,,,,,1,2012,,,
,,,,,,1,2013,,,
,,,,,,1,2014,,,
,,,,,,1,2015,,,
,,,,,,1,2016,,,
,,,,,,,,,,
,,,,,,,,,,
