group_name,yes_rsvp_count,latitude,longitude,station,distance
NYC Women Who Go,38,40.75605773925781,-73.99032592773438,34 ST-PENN STA,0.005731555381119524
League of Women Coders,66,40.74467086791992,-73.98486328125,34 ST-PENN STA,0.008418815962638012
Women in Agile New York City,35,40.75529098510742,-73.98749542236328,34 ST-PENN STA,0.006072183526471418
Women in Hyper Growth Companies,26,40.75190353393555,-73.98789978027344,34 ST-PENN STA,0.0035086422629889745
Techfest Club: the monthly event for women in tech,20,40.74253845214844,-73.99455261230469,34 ST-PENN STA,0.008579011914152569
The Women Tribe,1,40.74821853637695,-73.98643493652344,34 ST-PENN STA,0.005099527849164042
Women of Wearables New York Chapter (W.O.W NY),8,40.752498626708984,-74.00105285644531,34 ST-PENN STA,0.010219365683899959
Girl Develop It NYC,15,40.73882293701172,-73.99205017089844,34 ST-PENN STA,0.011592684911910948
NYC Women Who Go,38,40.75605773925781,-73.99032592773438,GRD CNTRL-42 ST,0.014141705239638723
League of Women Coders,66,40.74467086791992,-73.98486328125,GRD CNTRL-42 ST,0.01071109870143523
Women in Agile New York City,35,40.75529098510742,-73.98749542236328,GRD CNTRL-42 ST,0.011212614471541354
Women in Hyper Growth Companies,26,40.75190353393555,-73.98789978027344,GRD CNTRL-42 ST,0.011052516098923876
The Women Tribe,1,40.74821853637695,-73.98643493652344,GRD CNTRL-42 ST,0.010225697987601779
The Business of WE (Women Entrepreneurs),8,40.76038360595703,-73.97667694091797,GRD CNTRL-42 ST,0.008609305519092364
Women Entrepreneur Resource & Educational Community-New York,4,40.76054000854492,-73.9753189086914,GRD CNTRL-42 ST,0.008896401857239836
Boobs in Business,27,40.75,-73.98999786376953,GRD CNTRL-42 ST,0.013269253677472805
"Women Of Cherish, Embracing Women Within.",1,40.75046920776367,-73.98060607910156,GRD CNTRL-42 ST,0.003978801890330496
Girl Boss Networking- NYC Chapter,1,40.75128936767578,-73.97630310058594,GRD CNTRL-42 ST,0.0007305658015702999
NYC Lesbian Social and Travel Group,22,40.75041580200195,-73.98716735839844,GRD CNTRL-42 ST,0.010408616447406007
NYC Women Who Go,38,40.75605773925781,-73.99032592773438,34 ST-HERALD SQ,0.006815002760235773
League of Women Coders,66,40.74467086791992,-73.98486328125,34 ST-HERALD SQ,0.005851800797792024
Women in Agile New York City,35,40.75529098510742,-73.98749542236328,34 ST-HERALD SQ,0.005581605964722462
